City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,utrik,11.2278,169.8474,82.85,80,96,19.55,MH,1723158423
121,dalaba,10.7,-12.25,63.61,98,100,3.4,GN,1723158425
122,whitehorse,60.7161,-135.0538,81.37,32,20,13.8,CA,1723158287
123,lichinga,-13.3128,35.2406,57.47,54,5,3.87,MZ,1723158429
124,concordia,-31.393,-58.0209,45.79,90,100,8.99,AR,1723158430
125,port angeles,48.1181,-123.4307,75.81,54,0,3.44,US,1723158191
126,kerouane,9.2667,-9.0167,70.11,98,100,3.85,GN,1723158433
127,san julian,21.0167,-102.1667,71.87,58,64,7.2,MX,1723158435
128,caiaponia,-16.9567,-51.8103,72.23,30,10,3.8,BR,1723158437
129,chui,-33.6971,-53.4616,47.12,63,43,11.18,UY,1723158320
130,grand-lahou,5.1367,-5.0242,73.94,88,94,6.76,CI,1723158441
131,taulaga,-11.0553,-171.0883,81.0,79,61,18.54,AS,1723158442
132,ceerigaabo,10.6162,47.368,67.32,61,38,15.17,SO,1723158444
133,codrington,-38.2667,141.9667,48.06,90,20,9.84,AU,1723158446
134,russkaya polyana,49.417,31.9201,63.9,65,100,1.79,UA,1723158448
135,puerto ayora,-0.7393,-90.3518,68.56,89,83,5.99,EC,1723158449
136,badger,64.8,-147.5333,69.71,68,75,9.22,US,1723158451
137,kapit,2.0167,112.9333,72.52,99,100,1.25,MY,1723158452
138,ad dilam,23.9915,47.1627,91.67,14,73,4.52,SA,1723158454
139,kapuskasing,49.4169,-82.4331,60.89,100,100,10.36,CA,1723158456
140,la'ie,21.6477,-157.9253,83.1,75,23,5.99,US,1723158458
141,sombrerete,23.6333,-103.65,78.03,24,72,15.84,MX,1723158460
142,stanley,54.868,-1.6985,61.52,93,40,6.91,GB,1723158462
143,margate,51.3813,1.3862,66.69,84,100,1.99,GB,1723158453
144,karratha,-20.7377,116.8463,69.03,38,9,7.74,AU,1723158466
145,biao,7.1633,125.5211,78.62,100,75,2.3,PH,1723158469
146,nova vicosa,-17.8919,-39.3719,71.15,74,0,8.41,BR,1723158471
147,yueyang,29.3333,113.0919,82.98,70,42,9.53,CN,1723158474
148,kangding,30.0513,101.9603,64.6,97,99,1.07,CN,1723158476
149,luderitz,-26.6481,15.1594,55.92,70,0,7.74,NA,1723158478
150,rio gallegos,-51.6226,-69.2181,39.25,87,0,5.75,AR,1723158368
151,praia,14.9215,-23.5087,81.14,74,75,11.5,CV,1723158483
152,talnakh,69.4865,88.3972,47.77,73,3,3.83,RU,1723158486
153,aleksandrovsk-sakhalinskiy,50.8975,142.1561,55.85,96,100,11.32,RU,1723158488
154,hadibu,12.65,54.0333,77.13,81,26,17.65,YE,1723158490
155,inarajan village,13.2736,144.7484,85.78,84,93,7.23,GU,1723158492
156,schomberg,48.7871,8.645,57.72,77,5,4.21,DE,1723158494
157,arklow,52.7931,-6.1414,59.34,87,100,16.89,IE,1723158496
158,zaragoza,41.6561,-0.8773,84.65,50,0,14.97,ES,1723158497
159,punta arenas,-53.15,-70.9167,44.11,87,75,4.61,CL,1723158200
160,abu dhabi,24.4667,54.3667,94.95,60,0,6.91,AE,1723158501
161,dingli,35.8614,14.3822,78.96,74,0,3.44,MT,1723158503
162,aasiaat,68.7098,-52.8699,37.99,94,99,3.36,GL,1723158505
163,klerksdorp,-26.8521,26.6667,57.02,39,0,11.3,ZA,1723158507
